uniq,taxonomy,kingdom,phylum
uniq1322,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq548,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq829,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq750,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq558,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq556,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq567,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq564,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq813,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq716,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq607,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq611,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq704,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq612,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq999,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq641,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1671,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1125,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq656,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq657,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq673,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1576,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq832,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq708,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2112,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq718,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq727,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq961,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq759,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq755,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1677,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq766,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq770,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq851,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq773,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1186,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq789,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq786,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1507,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq795,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq801,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq806,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1258,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq823,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq830,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq969,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq843,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq861,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq869,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq872,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq878,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1145,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq887,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq888,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq896,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1325,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq901,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1031,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq928,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1899,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1075,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq953,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2471,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1163,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq966,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq975,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq983,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2577,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq988,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq992,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1549,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1009,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq998,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1015,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1016,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1026,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1398,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1040,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1042,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1044,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1048,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1586,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1066,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1063,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1477,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1229,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1508,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1900,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1082,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1085,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1097,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1820,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1106,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1114,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1981,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq1434,k:Eukaryota_2759,Eukaryota,Eukaryota
