uniq,phylum ,class,order,family,genus,species
uniq25377,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25545,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25631,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25676,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25705,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25693,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq25903,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq26373,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27131,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27200,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27317,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27463,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27475,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27722,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27801,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq27836,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq28087,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq187,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne
uniq3682,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne
uniq4825,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne
uniq14609,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia
uniq667,Arthropoda,Hexanauplia,Hexanauplia,Hexanauplia,Hexanauplia,Hexanauplia
uniq411,Arthropoda,Hexanauplia,Calanoida,Calanoida,Calanoida,Calanoida
uniq2283,Arthropoda,Hexanauplia,Calanoida,Calanoida,Calanoida,Calanoida
uniq206,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq287,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq610,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq1771,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq5396,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq12067,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq12497,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq16734,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq19729,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq145,Arthropoda,Hexanauplia,Calanoida,Calanidae,Canthocalanus,Canthocalanus
uniq6619,Arthropoda,Hexanauplia,Calanoida,Calanidae,Canthocalanus,Canthocalanus
uniq5076,Arthropoda,Hexanauplia,Calanoida,Calanidae,Cosmocalanus,Cosmocalanus
uniq7054,Arthropoda,Hexanauplia,Calanoida,Calanidae,Cosmocalanus,Cosmocalanus
uniq161,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq2414,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq8632,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq12315,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq13241,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq17346,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq17839,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq20401,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq21305,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq23573,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq1928,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq6582,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq7745,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq17518,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq18958,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq26857,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq27615,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus
uniq5858,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq19271,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq18984,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq20750,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq21422,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq24690,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq24745,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq26171,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq27482,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,Candacia
uniq129,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq243,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq358,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq677,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq1289,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq10520,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq25666,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq254,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq2486,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq2163,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq6668,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq5422,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq5022,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq5212,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq10796,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq12727,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq13271,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq13545,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq16956,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq18032,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq22883,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq7342,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,Eucalanus
uniq444,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus
uniq4723,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus
uniq11501,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus
uniq21241,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus
uniq5730,Arthropoda,Hexanauplia,Calanoida,Mecynoceridae,Mecynocera,Mecynocera
