"","TotalReads","TotalTaxa"
"sample1",21344,182
"sample2",12704,238
"sample3",21866,248
"sample4",38957,198
"sample5",8674,162
"sample6",45774,177
"sample7",25924,232
"sample8",18573,224
"sample9",4991,110
"sample10",15446,208
"sample11",38783,274
"sample12",5928,104
"sample13",26904,207
"sample14",24002,249
"sample15",8938,121
