uniq,phylum,class,order,family,genus,species
uniq13394,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Undinula,Undinula
uniq13397,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13416,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq13429,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq13431,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13463,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Clausocalanus,Clausocalanus
uniq13526,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13532,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq13559,Arthropoda,Malacostraca,Malacostraca,Decapoda,Thalamita,Thalamita
uniq1356,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq13580,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Nassarius,Nassarius
uniq13582,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Clausocalanus,Clausocalanus
uniq13593,Arthropoda,Hexanauplia,Hexanauplia,Cyclopidae,Cyclopidae,Cyclopidae
uniq13595,Mollusca,Bivalvia,Bivalvia,Mytiloida,Brachidontes,Brachidontes
uniq136,Arthropoda,Hexanauplia,Hexanauplia,Poecilostomatoida,Farranula,Farranula
uniq13604,Chordata,Actinopteri,Actinopteri,Holocentriformes,Neoniphon,Neoniphon
uniq13619,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Nassarius,Nassarius
uniq13643,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1365,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria
uniq13658,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Candacia,Candacia
uniq13671,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq13673,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13677,Cnidaria,Anthozoa,Anthozoa,Actiniaria,Edwardsia,Edwardsia
uniq13684,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Trivirostra,Trivirostra
uniq13693,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Conus,Conus
uniq13712,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13715,Cnidaria,Anthozoa,Anthozoa,Actiniaria,Actiniaria,Actiniaria
uniq13716,Arthropoda,Hexanauplia,Hexanauplia,Poecilostomatoida,Copilia,Copilia
uniq13723,Mollusca,Gastropoda,Gastropoda,Pteropoda,Corolla,Corolla
uniq1377,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq13772,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata
uniq13783,Mollusca,Gastropoda,Gastropoda,Gastropoda,Cerithium,Cerithium
uniq13795,Mollusca,Gastropoda,Gastropoda,Cephalaspidea,Phanerophthalmus,Phanerophthalmus
uniq13827,Mollusca,Gastropoda,Gastropoda,Pteropoda,Pteropoda,Pteropoda
uniq13856,Arthropoda,Hexanauplia,Hexanauplia,Sessilia,Euacasta,Euacasta
