ID,SampleID,ReadNumber
uniq4517,sample16,19
uniq594,sample28,19
uniq6,sample45,19
uniq60,sample23,19
uniq85,sample43,19
uniq17,sample25,20
uniq287,sample42,20
uniq2986,sample25,20
uniq4174,sample16,20
uniq4215,sample25,20
uniq4684,sample18,20
uniq52,sample19,20
uniq6,sample29,20
uniq69,sample18,20
uniq69,sample45,20
uniq85,sample42,20
uniq86,sample26,20
uniq10,sample31,21
uniq103,sample42,21
uniq110,sample19,21
uniq134,sample42,21
uniq14,sample9,21
uniq170,sample23,21
uniq18,sample32,21
uniq314,sample28,21
uniq3771,sample16,21
uniq7,sample44,22
uniq106,sample43,22
uniq110,sample17,22
uniq14,sample31,22
uniq149,sample36,22
uniq187,sample17,22
uniq2892,sample42,22
uniq3654,sample12,22
uniq3875,sample16,22
uniq70,sample42,22
uniq86,sample24,22
uniq13,sample8,23
uniq304,sample42,23
uniq4032,sample19,23
uniq70,sample23,23
uniq106,sample45,24
uniq1283,sample19,24
uniq13,sample42,24
uniq145,sample39,24
uniq314,sample39,24
uniq3280,sample26,24
uniq3608,sample7,24
uniq54,sample34,24
uniq55,sample32,24
uniq66,sample23,24
uniq70,sample28,24
uniq77,sample43,24
uniq7,sample10,25
uniq10,sample43,25
uniq3211,sample25,25
uniq3295,sample25,25
uniq3456,sample16,25
uniq54,sample18,25
uniq54,sample43,25
uniq943,sample17,25
uniq243,sample22,26
uniq2748,sample42,26
uniq2867,sample19,26
uniq287,sample19,26
uniq3086,sample41,26
uniq3171,sample41,26
uniq3306,sample42,26
uniq619,sample16,26
uniq69,sample14,26
uniq1283,sample22,27
uniq13,sample27,27
uniq145,sample41,27
uniq161,sample19,27
uniq18,sample17,27
uniq199,sample14,27
uniq202,sample28,27
uniq2667,sample19,27
uniq3031,sample16,27
uniq3080,sample25,27
uniq50,sample40,27
uniq52,sample28,27
uniq566,sample40,27
uniq70,sample34,27
uniq91,sample43,27
uniq210,sample41,28
uniq257,sample42,28
uniq2874,sample22,28
uniq298,sample19,28
uniq3404,sample16,28
