uniq,X101156,X101157,X101169,X101171,X101176,X101178,X101200,X101202,X101221,X101222,X101226,X101228,X101236,X101238,X101246,X101248,X101262,X101264,X101268,X101270,X101276,X101279,X101283,X101286,X101295,X101297,X101320,X101321,X101341,X101343,X1623,X1624,X1629,X1630,X1632,X1633,X1635,X1636,X1638,X1639,X1641,X1642,X1644,X1645,X1650,X1651,X1656,X1657,X1662,X1663,X1668,X1669,X1674,X1675,X1677,X1678,X1689,X1690,X1755,X1756,X2572,X2573,X2587,X2588,X2599,X2600,X2602,X2603,X2608,X2609,X2614,X2615,X2620,X2621,X2626,X2627,X2632,X2633,X2635,X2636,X2638,X2639,X2641,X2642,X2644,X2645,X2647,X2648,X2662,X2663,EC,MC,OC,NCmax
uniq4,12,24,3,5,174,349,65,1830,77,133,159,57,640,197,107,2964,187,90,79,109,181,304,161,374,4233,1622,90,623,1703,4010,37,16,8,16,49,292,17,29,206,133,928,740,102,220,26,51,2,2,40,17,2,3,0,0,364,37,8,30,14,27,288,188,14,7,24,544,54,58,62,46,19,18,40,95,572,589,90,198,19,27,217,210,36,84,30,14,7,8,176,396,68,45,10,61
uniq29,0,0,0,8,0,0,0,0,3,3,0,0,48,78,50,62,33,80,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,4901,206,0,71
uniq61,3,14,6,8,528,120,14,1218,20,30,13,820,99,2,0,12,4,0,2,0,0,0,0,8,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,21,15,26
uniq32,0,0,0,0,4208,45,42,43,27,48,0,0,0,0,2,0,8,0,0,0,0,0,2,0,11,0,0,0,0,0,16,3,336,36,3,4,3,3,9,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,10,0,0,0,2,0,0,46,0,23
uniq116,0,0,0,0,5,4,13,1062,9,16,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,15,0,16
uniq109,0,0,0,0,4,350,18,573,5,10,34,0,46,9,4,375,3,5,2,0,2,2,0,4,83,8,5,21,3,209,0,0,0,0,0,0,0,3,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,12,10,0,0,0,0,5,6,0,0,21,2,19,3,23,5,0,3,0,0,57,8,4,14,0,15
uniq34,29,40,84,40,6,40,10,10,11,22,29,32,0,0,0,0,0,8,7,0,0,0,0,0,0,8,6,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,9,7,0,0,0,0,0,0,10,0,0,0,0,0,1274,3125,15
uniq21,2,10,2,0,28,65,4,209,6,14,27,39,86,12,3,129,11,9,5,3,10,12,16,8,138,47,20,121,36,1185,132,127,22,39,330,441,142,201,1841,1016,165,496,594,458,60,81,0,0,10,18,0,3,0,0,210,30,3,6,7,20,55,44,15,16,19,157,29,24,204,147,10,13,19,65,141,284,23,36,99,131,201,233,37,86,32,28,5,6,27,28,4,5,5,13
uniq73,0,0,0,0,145,544,7,26,6,13,19,41,14,3,0,13,2,0,3,2,0,2,0,5,131,19,0,12,14,27,86,8,5,11,23,89,15,70,54,61,119,232,14,38,11,5,2,0,0,13,0,0,0,0,2,6,0,0,0,0,0,0,11,8,6,841,31,13,18,33,0,2,0,4,25,19,0,5,0,0,9,3,0,4,0,2,0,0,9,3,0,7,2,11
uniq1,8,9,8,7,60,135,40,249,11,24,145,44,72,32,37,421,42,62,38,25,43,52,369,86,162,461,17,35,130,65,189,471,165,214,666,1075,278,461,2038,2955,1402,1615,1277,1431,253,315,10,18,82,62,15,7,0,4,370,95,43,33,28,20,25,50,461,363,415,1119,1265,938,4439,6547,364,367,514,818,4585,5907,921,2901,1720,1341,1008,1141,1025,927,396,647,23,12,47,43,14,20,28,18
uniq209,0,0,0,0,2,475,6,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8
uniq14,89,109,119,84,0,47,3,5,3,6,52,121,0,0,0,0,0,21,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,22,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,302,8429,60
uniq5,4,13,11,5,84,69,18,114,4,16,63,112,40,21,30,336,43,45,10,4,5,11,24,18,78,28,12,23,6,95,119,304,87,134,469,733,249,389,1495,1871,784,788,712,898,145,121,5,8,36,22,13,2,0,2,32,255,23,14,8,9,22,31,422,212,228,562,835,499,3024,3800,173,153,196,598,2188,2896,370,1203,1479,695,566,742,253,770,230,348,6,6,69,30,14,14,24,18
uniq192,0,0,0,0,548,4,3,2,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
uniq41,3,15,5,4,26,111,6,230,3,12,54,97,78,16,8,384,8,9,0,3,0,6,9,7,125,40,5,68,3,180,108,20,19,19,103,253,34,159,325,590,194,238,28,54,17,20,0,0,27,9,11,2,0,0,8,3,0,0,0,0,15,10,10,16,10,719,50,36,111,147,10,7,16,32,204,250,199,109,84,8,42,29,5,124,6,6,0,0,42,16,6,3,9,7
uniq80,3,0,2,0,14,670,6,21,24,11,16,0,1074,12,7,20,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,8,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,10,6,4,16
uniq133,0,2,0,0,2,0,2,0,0,4,0,0,9,15,10,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,88,0,60
uniq373,0,0,0,0,3,233,3,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
uniq19,7,17,7,13,7,172,10,333,8,25,106,322,88,24,11,437,9,19,15,7,5,27,13,22,307,318,13,204,79,303,33,174,13,25,119,200,16,150,310,469,104,128,39,71,13,15,3,3,52,14,8,0,0,0,20,9,0,2,2,3,11,30,50,25,17,1228,30,41,120,198,21,13,15,35,313,388,33,285,77,21,34,24,21,217,4,10,0,2,95,27,10,7,10,5
uniq18,4,2,0,3,35,15,3,98,12,10,59,25,55,8,7,425,10,11,5,4,15,12,133,15,87,93,32,269,1961,161,42,34,13,14,118,275,12,40,382,402,185,234,184,391,23,29,0,0,11,68,0,2,2,2,128,51,2,3,5,2,31,42,11,10,26,299,143,74,137,124,17,20,74,45,365,531,39,202,26,13,94,76,128,49,4,7,0,2,52,62,4,0,0,5
uniq153,0,0,0,0,713,7,8,9,3,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4
