uniq,kingdom,phylum,class,order,family,genus,species
uniq15918,Eukaryota,Annelida,Polychaeta,Polychaeta_6341,,,
uniq837,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq1440,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq4963,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq6976,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Chaetopteridae_6378,g:Chaetopterus_6379,s:Chaetopterus",,,
uniq33842,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,f:Polygordiidae_188465,g:Polygordius_188466,s:Polygordius",,,
uniq3906,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Bonelliidae_47116,g:Bonellia_47117,s:Bonellia",,,
uniq8446,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq5405,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq17257,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq17368,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq23134,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq26846,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Anelassorhynchus_1544303,s:Anelassorhynchus",,,
uniq1619,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma",,,
uniq4982,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Echiuroidea_41798,f:Echiuridae_41799,g:Ochetostoma_41800,s:Ochetostoma",,,
uniq1148,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Eurythoe_104702,s:Eurythoe",,,
uniq30424,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Pherecardia_1028436,s:Pherecardia",,,
uniq45096,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Amphinomidae_104701,g:Pherecardia_1028436,s:Pherecardia",,,
uniq33801,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,g:Palola_365158,s:Palola",,,
uniq994,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Eunicida_65495,f:Eunicidae_104737,s:Eunicidae",,,
uniq35913,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Chrysopetalidae_115831,g:Treptopale_1213262,s:Treptopale",,,
uniq289,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Hesionidae_115834,s:Hesionidae",,,
uniq14817,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Nereididae_39820,g:Nereis_6351,s:Nereis",,,
uniq29350,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Nereididae_39820,g:Perinereis_6354,s:Perinereis",,,
uniq3729,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae",,,
uniq24847,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Phyllodocida_6348,f:Sigalionidae_104728,s:Sigalionidae",,,
uniq5978,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Acromegalomma_2023652,s:Acromegalomma",,,
uniq15985,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Acromegalomma_2023652,s:Acromegalomma",,,
uniq13071,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Sabellida_6362,f:Sabellidae_6366,g:Bispira_754250,s:Bispira",,,
uniq131,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Malacoceros_104704,s:Malacoceros",,,
uniq119,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Malacoceros_104704,s:Malacoceros",,,
uniq2746,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq7536,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq6785,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq5158,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq6223,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq8281,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq9557,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq16688,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq37405,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq41022,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq43635,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq47611,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Microspio_1719118,s:Microspio",,,
uniq2046,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq11825,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq24142,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,g:Scolelepis_95535,s:Scolelepis",,,
uniq4599,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Spionida_46589,f:Spionidae_46599,s:Spionidae",,,
uniq33344,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Cirratulidae_46590,g:Timarete_1570309,s:Timarete",,,
uniq2365,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Terebellidae_32261,g:Amaeana_153657,s:Amaeana",,,
uniq2059,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,o:Terebellida_6373,f:Terebellidae_32261,g:Rhinothelepus_153628,s:Rhinothelepus",,,
uniq3493,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,s:Polychaeta",,,
uniq8209,Eukaryota,Annelida,Polychaeta,"Polychaeta_6341,s:Polychaeta",,,
uniq43,Eukaryota,Annelida,Annelida,"Annelida_6340,s:Annelida",,,
uniq10053,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14874,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1688,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq21057,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34077,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq828,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq60,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq85,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq111,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq195,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq333,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq282,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq398,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq363,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq751,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq430,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq440,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq444,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq498,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq506,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1327,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq611,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq750,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq649,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1274,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq925,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1234,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1038,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1064,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1093,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1120,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1690,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1184,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1260,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq2773,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq1725,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq2011,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq2288,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3517,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq2604,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3029,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq2656,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6176,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3025,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6485,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3239,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3320,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3486,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3498,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4432,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3721,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3736,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3744,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5320,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3982,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq3986,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4047,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4049,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4494,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4501,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6369,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4809,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4834,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq4983,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5856,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5177,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5281,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5544,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5558,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5626,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5670,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12057,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq5806,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq9536,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6225,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6374,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6393,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13397,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6539,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6698,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6773,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq6819,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7026,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7136,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7139,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7238,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14689,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7573,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7646,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7721,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq7909,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14899,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8253,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8619,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8885,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq8927,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13431,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq9329,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16020,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq9514,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq9916,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10082,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10240,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10278,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq9952,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10797,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq10841,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14535,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12882,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17243,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq11106,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq11161,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq11332,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq11516,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq11778,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12573,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12638,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16528,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12824,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq12864,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13526,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13643,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13673,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13712,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq13956,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq14410,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19435,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15011,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15411,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15423,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15602,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15708,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq15792,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16478,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16487,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16584,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq16659,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17265,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17283,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17541,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17657,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25122,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq26485,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq26632,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq17953,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq18005,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq18435,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq18575,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq18719,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq18908,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19134,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq27619,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19510,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19647,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19799,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq19833,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq20059,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq20260,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq20449,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq20695,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq20996,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34709,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34904,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq21410,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq21432,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq21989,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22043,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22149,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22258,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22375,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22511,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22581,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22583,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22886,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq22905,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq23322,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq40550,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq23694,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq24596,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq24595,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq24825,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25295,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25491,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25533,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25669,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq25849,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq26058,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq26131,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq26353,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq27304,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq27436,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq27983,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq28195,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq29111,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq29516,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq29662,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq30143,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq30282,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq30473,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq30684,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq31022,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq31416,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq31446,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32066,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32386,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32704,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32744,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32807,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq32987,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq33068,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq33163,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq33741,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq33822,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34122,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34148,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34466,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34567,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34837,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq34896,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq35058,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq35484,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq35801,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq35822,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq36115,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq36288,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq36974,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq37529,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq37895,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq37967,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq37977,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38007,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38010,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38134,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38139,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38256,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38396,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38530,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38544,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38670,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq38848,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq39036,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq39114,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq39317,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
uniq39334,Eukaryota,Arthropoda,Arthropoda,Arthropoda_6656,,,
