uniq27	k:Eukaryota_2759(1.00),p:Chordata_7711(1.00),c:Actinopteri_186623(1.00),o:Labriformes_1489928(1.00),f:Labridae_8247(1.00),g:Chlorurus_126670(1.00),s:Chlorurus(1.00)	+	k:Eukaryota_2759,p:Chordata_7711,c:Actinopteri_186623,o:Labriformes_1489928,f:Labridae_8247,g:Chlorurus_126670,s:Chlorurus
uniq33				
uniq90	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(0.85),s:Sagitta(0.85)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753
uniq25	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.97),c:Insecta_50557(0.43),o:Lepidoptera_7088(0.14),f:Bucculatricidae_198964(0.01),g:Bucculatrix_198965(0.01),s:Bucculatrix(0.01)	+	k:Eukaryota_2759
uniq38				
uniq49				
uniq58				
uniq36	k:Eukaryota_2759(1.00),p:Echinodermata_7586(1.00),c:Asteroidea_7588(1.00),o:Valvatida_41166(1.00),f:Ophidiasteridae_60561(1.00),g:Linckia_109181(1.00),s:Linckia(1.00)	+	k:Eukaryota_2759,p:Echinodermata_7586,c:Asteroidea_7588,o:Valvatida_41166,f:Ophidiasteridae_60561,g:Linckia_109181,s:Linckia
uniq57	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.86),c:Hexanauplia_72037(0.21),o:Calanoida_6833(0.21),f:Calocalanidae_749174(0.04),g:Calocalanus_749175(0.04),s:Calocalanus(0.04)	+	k:Eukaryota_2759
uniq35	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Poecilostomatoida_84310(0.95),f:Sapphirinidae_545089(0.95),g:Copilia_545085(0.95),s:Copilia(0.95)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037
uniq39	k:Eukaryota_2759(1.00),p:Chaetognatha_10229(1.00),c:Sagittoidea_1421718(1.00),o:Aphragmophora_33512(1.00),f:Sagittidae_34753(1.00),g:Sagitta_10230(1.00),s:Sagitta(1.00)	+	k:Eukaryota_2759,p:Chaetognatha_10229,c:Sagittoidea_1421718,o:Aphragmophora_33512,f:Sagittidae_34753,g:Sagitta_10230,s:Sagitta
uniq40	k:Eukaryota_2759(1.00),p:Mollusca_6447(1.00),c:Bivalvia_6544(1.00),o:Mytiloida_6546(1.00),f:Mytilidae_6547(1.00),g:Trichomya_40251(1.00),s:Trichomya(1.00)	+	k:Eukaryota_2759,p:Mollusca_6447,c:Bivalvia_6544,o:Mytiloida_6546,f:Mytilidae_6547,g:Trichomya_40251,s:Trichomya
uniq47	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.95),c:Insecta_50557(0.76),o:Plecoptera_50622(0.03),f:Chloroperlidae_143748(0.02),g:Chloroperla_466661(0.02),s:Chloroperla(0.02)	+	k:Eukaryota_2759
uniq45				
uniq42	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.93),c:Insecta_50557(0.85),o:Lepidoptera_7088(0.28),f:Gelechiidae_32434(0.03),g:Gnorimoschema_355912(0.01),s:Gnorimoschema(0.01)	+	k:Eukaryota_2759
uniq52	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.80),c:Insecta_50557(0.66),o:Diptera_7147(0.29),f:Chironomidae_7149(0.13),g:Parakiefferiella_611371(0.02),s:Parakiefferiella(0.02)	+	k:Eukaryota_2759
uniq43	k:Eukaryota_2759(1.00),p:Annelida_6340(1.00),s:Annelida(1.00)	+	k:Eukaryota_2759,p:Annelida_6340,s:Annelida
uniq50	k:Eukaryota_2759(1.00),p:Echinodermata_7586(0.97),c:Ophiuroidea_7618(0.95),o:Amphilepidida_2783457(0.95),f:Ophiocomidae_7621(0.71),g:Ophiocomella_1526690(0.69),s:Ophiocomella(0.69)	+	k:Eukaryota_2759
uniq48				
uniq62	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus
uniq53				
uniq87				
uniq74	k:Eukaryota_2759(1.00),p:Arthropoda_6656(0.49),c:Insecta_50557(0.43),o:Coleoptera_7041(0.05),f:Scarabaeidae_7055(0.01),g:Apotolamprus_369520(0.01),s:Apotolamprus(0.01)	+	k:Eukaryota_2759
uniq55	k:Eukaryota_2759(1.00),p:Chordata_7711(0.99),c:Actinopteri_186623(0.91),o:Pempheriformes_1489939(0.05),f:Epigonidae_223796(0.03),g:Sphyraenops_1960913(0.03),s:Sphyraenops(0.03)	+	k:Eukaryota_2759,p:Chordata_7711
uniq63	k:Eukaryota_2759(1.00),p:Arthropoda_6656(1.00),c:Hexanauplia_72037(1.00),o:Calanoida_6833(1.00),f:Paracalanidae_163470(1.00),g:Paracalanus_163471(1.00),s:Paracalanus(1.00)	+	k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Paracalanidae_163470,g:Paracalanus_163471,s:Paracalanus
