otuID,phylum,class,order,family,genus,species
uniq10138,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Caridea
uniq10153,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq10161,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq1017,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq10178,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lithophyllon,Lithophyllon
uniq10187,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Stylocheilus,Stylocheilus
uniq10222,Chordata,Actinopteri,Syngnathiformes,Mullidae,Upeneus,Upeneus
uniq10241,Mollusca,Gastropoda,Neogastropoda,Neogastropoda,Neogastropoda,Neogastropoda
uniq10283,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia
uniq103,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq10315,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithonidae,Oithonidae
uniq10322,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq10338,Arthropoda,Malacostraca,Decapoda,Xanthidae,Pilodius,Pilodius
uniq10354,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Brachyura
uniq10366,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10371,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Conomurex,Conomurex
uniq10375,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Pleurobranchus,Pleurobranchus
uniq1041,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,Corycaeidae,Corycaeidae
uniq10428,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq10436,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia
uniq10473,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq10483,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1049,Chordata,Actinopteri,Kurtiformes,Apogonidae,Jaydia,Jaydia
uniq10506,Mollusca,Bivalvia,Cardiida,Cardiida,Cardiida,Cardiida
uniq10509,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria
uniq1051,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq10513,Mollusca,Gastropoda,Gastropoda,Cerithiidae,Cerithium,Cerithium
uniq10520,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages
uniq10526,Cnidaria,Anthozoa,Ceriantharia,Ceriantharia,Ceriantharia,Ceriantharia
uniq1053,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq10533,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq1054,Chordata,Actinopteri,Kurtiformes,Apogonidae,Zoramia,Zoramia
uniq10556,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata
uniq10593,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq106,Arthropoda,Hexanauplia,Poecilostomatoida,Sapphirinidae,Sapphirinidae,Sapphirinidae
uniq10617,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq10667,Cnidaria,Anthozoa,Scleractinia,Oulastreidae,Oulastrea,Oulastrea
uniq1067,Chordata,Actinopteri,Kurtiformes,Apogonidae,Siphamia,Siphamia
uniq10687,Mollusca,Gastropoda,Neogastropoda,Conidae,Conasprella,Conasprella
uniq10699,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq107,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata
uniq10718,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq10720,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Brachyura
uniq10796,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq10824,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta,Ferosagitta
uniq10861,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq1091,Arthropoda,Hexanauplia,Poecilostomatoida,Sapphirinidae,Copilia,Copilia
uniq10916,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Baeolidia,Baeolidia
uniq10929,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1093,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseidae,Creseidae
uniq1096,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Lovenia,Lovenia
uniq10987,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq110,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus
uniq11013,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq11023,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria,Cnidaria
uniq11033,Chordata,Actinopteri,Syngnathiformes,Mullidae,Upeneus,Upeneus
uniq1107,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq11108,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Conomurex,Conomurex
uniq11159,Platyhelminthes,Rhabditophora,Polycladida,Polycladida,Polycladida,Acotylea
uniq1117,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea
uniq1118,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq11180,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia
uniq11208,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Agalmatidae,Agalmatidae
uniq1122,Mollusca,Gastropoda,Littorinimorpha,Spirostyliferinidae,Styliferina,Styliferina
uniq11248,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11296,Chordata,Actinopteri,Gobiiformes,Gobiidae,Valenciennea,Valenciennea
uniq1130,Chordata,Actinopteri,Labriformes,Labridae,Scarus,Scarus
uniq11307,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11344,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta,Ferosagitta
uniq11346,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq11349,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11356,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1137,Mollusca,Bivalvia,Ostreida,Ostreidae,Lopha,Lopha
uniq11376,Mollusca,Gastropoda,Littorinimorpha,Hipponicidae,Cheilea,Cheilea
uniq1138,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,Creseis
uniq11428,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11439,Chordata,Actinopteri,Gobiiformes,Gobiidae,Amblygobius,Amblygobius
uniq11441,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq11474,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq11476,Arthropoda,Hexanauplia,Pygophora,Lithoglyptidae,Auritoglyptes,Auritoglyptes
uniq11481,Mollusca,Gastropoda,Gastropoda,Triphoridae,Triphora,Triphora
uniq11486,Mollusca,Gastropoda,Pteropoda,Creseidae,Boasia,Boasia
uniq11499,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Anomura
uniq11501,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus
uniq11513,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1154,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Laodicea,Laodicea
uniq11555,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq11628,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Philinopsis,Philinopsis
uniq11639,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1164,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Brachyura
uniq11665,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1167,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq11708,Echinodermata,Ophiuroidea,Amphilepidida,Amphilepidida,Amphilepidida,Amphilepidida
uniq11726,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae,Sigalionidae
uniq11792,Arthropoda,Malacostraca,Decapoda,Xanthidae,Sulcodius,Sulcodius
uniq11797,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq118,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Laodicea,Laodicea
uniq11814,Mollusca,Gastropoda,Neogastropoda,Muricidae,Muricidae,Muricidae
uniq11822,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11825,Chordata,Actinopteri,Syngnathiformes,Mullidae,Parupeneus,Parupeneus
uniq1183,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster
uniq1184,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Brachyura
uniq11842,Mollusca,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia
uniq11847,Arthropoda,Malacostraca,Decapoda,Rhynchocinetidae,Rhynchocinetes,Rhynchocinetes
uniq1185,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq11864,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1187,Arthropoda,Malacostraca,Decapoda,Xanthidae,Etisus,Etisus
uniq11901,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq11908,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq11913,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Scyllaridae,Scyllaridae
uniq11918,Mollusca,Gastropoda,Gastropoda,Cerithiidae,Cerithium,Cerithium
uniq11929,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseidae,Creseidae
uniq1193,Chordata,Actinopteri,Spariformes,Nemipteridae,Scolopsis,Scolopsis
uniq11937,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta
uniq1194,Arthropoda,Hexanauplia,Poecilostomatoida,Sapphirinidae,Sapphirina,Sapphirina
uniq11959,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq11965,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq1197,Cnidaria,Hydrozoa,Hydrozoa,Hydrozoa,Hydrozoa,Hydrozoa
uniq11971,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq11999,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia
uniq1203,Arthropoda,Malacostraca,Decapoda,Rhynchocinetidae,Cinetorhynchus,Cinetorhynchus
uniq12067,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia
uniq1214,Arthropoda,Malacostraca,Stomatopoda,Stomatopoda,Stomatopoda,Squilloidea
uniq1218,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata
