sample,tow,site.rep,sample.rep,site.year,site.short,site,region,year
X2621,2621,Gibs_2,Gibson.2,Gibs_2018,Gibson,Gibson Reef,Central,2018
X101246,101246,Gibs_1,Gibson.1,Gibs_2019,Gibson,Gibson Reef,Central,2019
X101248,101248,Gibs_2,Gibson.2,Gibs_2019,Gibson,Gibson Reef,Central,2019
X1662,1662,Gree_1,Green.1,Gree_2017,Green,Green Island,Central,2017
X1663,1663,Gree_2,Green.2,Gree_2017,Green,Green Island,Central,2017
X2608,2608,Gree_1,Green.1,Gree_2018,Green,Green Island,Central,2018
X2609,2609,Gree_2,Green.2,Gree_2018,Green,Green Island,Central,2018
X101226,101226,Gree_1,Green.1,Gree_2019,Green,Green Island,Central,2019
X101228,101228,Gree_2,Green.2,Gree_2019,Green,Green Island,Central,2019
X1644,1644,Hall_1,Hall-Thompson.1,Hall_2017,Hall-Thompson,Hall-Thompson Reef,Central,2017
X1645,1645,Hall_2,Hall-Thompson.2,Hall_2017,Hall-Thompson,Hall-Thompson Reef,Central,2017
X2626,2626,Hall_1,Hall-Thompson.1,Hall_2018,Hall-Thompson,Hall-Thompson Reef,Central,2018
X2627,2627,Hall_2,Hall-Thompson.2,Hall_2018,Hall-Thompson,Hall-Thompson Reef,Central,2018
X101262,101262,Hall_1,Hall-Thompson.1,Hall_2019,Hall-Thompson,Hall-Thompson Reef,Central,2019
X101264,101264,Hall_2,Hall-Thompson.2,Hall_2019,Hall-Thompson,Hall-Thompson Reef,Central,2019
X1755,1755,Liza_1,Lizard.1,Liza_2017,Lizard,Lizard Island,North,2017
X1756,1756,Liza_2,Lizard.2,Liza_2017,Lizard,Lizard Island,North,2017
X2662,2662,Liza_1,Lizard.1,Liza_2018,Lizard,Lizard Island,North,2018
X2663,2663,Liza_2,Lizard.2,Liza_2018,Lizard,Lizard Island,North,2018
X101221,101221,Liza_1,Lizard.1,Liza_2019,Lizard,Lizard Island,North,2019
X101222,101222,Liza_2,Lizard.2,Liza_2019,Lizard,Lizard Island,North,2019
MC,MC,MC,Pos,MC,MC,MC,MC,2018
NCA,NCA,NCA,Neg,NCA,NCA,NCA,NCA,2017
NCB,NCB,NCB,Neg,NCB,NCB,NCB,NCB,2018
NCC,NCC,NCC,Neg,NCC,NCC,NCC,NCC,2019
OC,OC,OC,Pos,OC,OC,OC,OC,2019
X1689,1689,Oste_1,Osterlund.1,Oste_2017,Osterlund,Osterlund Reef,North,2017
X1690,1690,Oste_2,Osterlund.2,Oste_2017,Osterlund,Osterlund Reef,North,2017
X2572,2572,Oste_1,Osterlund.1,Oste_2018,Osterlund,Osterlund Reef,North,2018
X2573,2573,Oste_2,Osterlund.2,Oste_2018,Osterlund,Osterlund Reef,North,2018
X101200,101200,Oste_1,Osterlund.1,Oste_2019,Osterlund,Osterlund Reef,North,2019
X101202,101202,Oste_2,Osterlund.2,Oste_2019,Osterlund,Osterlund Reef,North,2019
X1635,1635,Otte_1,Otter.1,Otte_2017,Otter,Otter Reef,Central,2017
X1636,1636,Otte_2,Otter.2,Otte_2017,Otter,Otter Reef,Central,2017
X2638,2638,Otte_1,Otter.1,Otte_2018,Otter,Otter Reef,Central,2018
X2639,2639,Otte_2,Otter.2,Otte_2018,Otter,Otter Reef,Central,2018
X101283,101283,Otte_1,Otter.1,Otte_2019,Otter,Otter Reef,Central,2019
X101286,101286,Otte_2,Otter.2,Otte_2019,Otter,Otter Reef,Central,2019
X1668,1668,Pixi_1,Pixie.1,Pixi_2017,Pixie,Pixie Reef,Central,2017
X1669,1669,Pixi_2,Pixie.2,Pixi_2017,Pixie,Pixie Reef,Central,2017
X2602,2602,Pixi_1,Pixie.1,Pixi_2018,Pixie,Pixie Reef,Central,2018
X2603,2603,Pixi_2,Pixie.2,Pixi_2018,Pixie,Pixie Reef,Central,2018
X101156,101156,Pixi_1,Pixie.1,Pixi_2019,Pixie,Pixie Reef,Central,2019
X101157,101157,Pixi_2,Pixie.2,Pixi_2019,Pixie,Pixie Reef,Central,2019
X1656,1656,Sudb_1,Sudbury.1,Sudb_2017,Sudbury,Sudbury Reef,Central,2017
X1657,1657,Sudb_2,Sudbury.2,Sudb_2017,Sudbury,Sudbury Reef,Central,2017
X2614,2614,Sudb_1,Sudbury.1,Sudb_2018,Sudbury,Sudbury Reef,Central,2018
X2615,2615,Sudb_2,Sudbury.2,Sudb_2018,Sudbury,Sudbury Reef,Central,2018
X101236,101236,Sudb_1,Sudbury.1,Sudb_2019,Sudbury,Sudbury Reef,Central,2019
X101238,101238,Sudb_2,Sudbury.2,Sudb_2019,Sudbury,Sudbury Reef,Central,2019
X1674,1674,Tong_1,Tongue.1,Tong_2017,Tongue,Tongue Reef,North,2017
X1675,1675,Tong_2,Tongue.2,Tong_2017,Tongue,Tongue Reef,North,2017
X2599,2599,Tong_1,Tongue.1,Tong_2018,Tongue,Tongue Reef,North,2018
X2600,2600,Tong_2,Tongue.2,Tong_2018,Tongue,Tongue Reef,North,2018
X101169,101169,Tong_1,Tongue.1,Tong_2019,Tongue,Tongue Reef,North,2019
X101171,101171,Tong_2,Tongue.2,Tong_2019,Tongue,Tongue Reef,North,2019
X1677,1677,Undi_1,Undine.1,Undi_2017,Undine,Undine Reef,North,2017
X1678,1678,Undi_2,Undine.2,Undi_2017,Undine,Undine Reef,North,2017
X2587,2587,Undi_1,Undine.1,Undi_2018,Undine,Undine Reef,North,2018
X2588,2588,Undi_2,Undine.2,Undi_2018,Undine,Undine Reef,North,2018
X101176,101176,Undi_1,Undine.1,Undi_2019,Undine,Undine Reef,North,2019
X101178,101178,Undi_2,Undine.2,Undi_2019,Undine,Undine Reef,North,2019
X1638,1638,Yama_1,Yamacutta.1,Yama_2017,Yamacutta,Yamacutta Reef,Central,2017
X1639,1639,Yama_2,Yamacutta.2,Yama_2017,Yamacutta,Yamacutta Reef,Central,2017
X2635,2635,Yama_1,Yamacutta.1,Yama_2018,Yamacutta,Yamacutta Reef,Central,2018
X2636,2636,Yama_2,Yamacutta.2,Yama_2018,Yamacutta,Yamacutta Reef,Central,2018
X101276,101276,Yama_1,Yamacutta.1,Yama_2019,Yamacutta,Yamacutta Reef,Central,2019
X101279,101279,Yama_2,Yamacutta.2,Yama_2019,Yamacutta,Yamacutta Reef,Central,2019
